,date,location,operator,ac_type,registration,aboard,fatalities,ground,summary
48,"December 14, 1920","London, England",Handley Page Transport,Handley Page HP-16,G-EAMA,8,4,0,The plane failed to gain altitude after taking off and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
49,"December 24, 1920","Barcelona, Spain",Aeropostale,Breguet 14,F-ALBO,1,1,0,The aircraft stalled and crashed when an engine failed.
50,"February 03, 1921","Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,130,1,1,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
51,"February 09, 1921","La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,301,3,3,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.
52,"February 15, 1921",Off Gibraltar,Aeropostale,Breguet 14,F-ALBA,2,2,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
53,"February 22, 1921","Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,67,1,1,0,"Shortly after taking off, the aircraft stalled and crashed ."
54,"April 06, 1921","Point Cook, Australia",Military - Royal Australian Air Force,Avro 504,H3021,2,2,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
55,"April 21, 1921","Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,160,1,1,0,After taking off the aircraft stalled and crashed.
56,"April 29, 1921","Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,196,1,1,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
57,"May 17, 1921","Rock Springs, Wyoming",US Aerial Mail Service,"De Havilland DH-4
De Havilland DH-4",176,1,1,0,Crashed while attempting to land.
58,"August 14, 1921","Toulouse, France",Aeropostale,Breguet 14,F-ALBI,2,2,0,
59,"August 24, 1921","River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),R-38,46,46,1,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.
60,"September 06, 1921","Paris, France",Franco-Roumaine,Potez IX,F-ADCD,5,5,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
61,"December 05, 1921","Near Murchinson River, Australia",West Australian Airways,Bristol 28 Tourer,G-AUDI,2,2,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
62,"January 14, 1922","Paris, France",Handley Page Transport,Handley Page O/10,G-EATN,5,5,5,Crashed at Le Bourget field.
63,"February 21, 1922","Near Norfolk, Virginia",Military - U.S. Army Air Service,Dirigible Roma (airship),,45,34,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
64,"March 22, 1922",North Atlantic Ocean,Aero Limited,Aeromarine Model 85 (flying boat),,6,5,0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
65,"April 07, 1922","Grandvilliers, France",Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,7,7,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
66,"April 08, 1922","Pao Ting Fou, China",,,,17,17,0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
67,"June 03, 1922","Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Bleriot Spad 27,F-ACMH,3,3,0,Went down into the English Channel while en route.
68,"July 04, 1922","Fuhlsbuttel, Germany",,LVG C VI,,3,2,0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
69,"July 16, 1922","Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,F-FREI,5,5,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
70,"July 26, 1922","Cadix, Spain",Grands Express Aeriens,Breguet 14,F-ALVE,3,3,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
71,"September 07, 1922","Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,227,1,1,0,The plane stalled shortly after takeoff and crashed.
72,"October 02, 1922","Venice, Italy",,de Havilland DH-9,G-EAYT,4,4,0,Shortly after taking off the plane crashed into the sea and sank.
73,"October 25, 1922","Larache, Morocco",Grands Express Aeriens,Breguet 14,,2,2,0,Crashed while on a flight from France.
74,"December 03, 1922","Fez, Morocco",Grands Express Aeriens,Breguet 14,F-ALNA,1,1,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
75,"January 10, 1923","Ajaccio, France",Amee de l'Air,Lioré-et-Olivier H-13,F-AEIB,4,3,0,The plane crashed mid-air due to a structural failure of the tail.
76,"January 17, 1923","Barcelona, Spain",Grands Express Aeriens,Breguet 14,F-ALJU,1,1,0,Crashed into a mountain during a snowstorm.
77,"January 18, 1923","Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,223,1,1,0,Crashed during a mail flight.
78,"February 26, 1923","Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,291,1,1,0,The pilot lost control of the aircraft  while on approach in poor weather conditions.
79,"May 14, 1923","Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Farman F-60 Goliath,F-AEBY,6,6,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
80,"August 27, 1923","Bucharest, Romania",Campagnie France Roumaine,Blériot Spad 46,F-AEGN,2,2,0,Crashed while on approach to Bucharesst.
81,"September 07, 1923","Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,283,1,1,0,Crashed during an emergency landing attempt.
82,"September 14, 1923","Near Ivinghoe, Buckinghamshire, England",Daimler Airways,de Havilland DH-34,G-EBBS,5,5,0,Crashed while attempting a forced landing after encountering heavy rain.
83,"November 18, 1923",Russia,CCCP,Junkers F-13,D-257,5,3,0,Crashed during a training flight.
84,"December 06, 1923","Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,318,1,1,0,
85,"December 23, 1923",Over the Mediterranean Sea,Military - French Navy,Zeppelin Dixmunde (airship),L-72,52,52,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
86,"December 24, 1923","Egbert, WY",US Aerial Mail Service,De Havilland DH-4,315,1,1,0,Crashed into a montain in poor weather conditions.
87,"March 07, 1924","Grampian, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,327,1,1,0,
88,"April 24, 1924",Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,H-NABS,3,3,0,
89,"June 08, 1924","Barranquilla, Colombia",SCADTA,Junkers F-13,A16,5,5,0,Stalled after taking off and crashed into a tree.
90,"August 01, 1924",United States,US Aerial Mail Service,De Havilland DH-4,297,1,1,0,
91,"November 06, 1924","Cabrerolles, France",Grands Express Aeriens,,F-AFBD,1,1,0,
92,"December 21, 1924","Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,311,1,1,0,
93,"December 24, 1924","Purley, England",Imperial Airways,de Havilland DH-34B,G-EBBX,8,8,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing."
94,"March 22, 1925","Near Tiflis, Georgia, USSR",Zakavia,Junkers F-13,R-RECA,5,5,0,Shortly after take off the plane went out of control and crashed in flames.
95,"April 25, 1925","Alicante, Spain",Grands Express Aeriens,Breguet 14,F-AFBB,3,3,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
96,"June 25, 1925","Landrécies, France",KLM Royal Dutch Airlines,Fokker (KLM)  F.III,H-NABM,4,4,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
97,"June 26, 1925","Alicante, Spain",Grands Express Aeriens,Lioré-et-Olivier LeO H-13,F-FREM,2,2,0,While attempting to land the seaplane hit a lightning mast and crashed.
98,"July 20, 1925","Rosas, Spain",Lignes Aeriennes Latecoere,Breguet 14,F-AFBI,1,1,0,Crashed in unknown circumstance.
99,"July 24, 1925","Budapest, Hungary",CIDNA,Potez IX,,1,1,0,Crashed while attempting to land 10 km from the airport
100,"September 03, 1925","Caldwell, Ohio",Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),ZR-1,43,14,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
102,"October 01, 1925","Nittany Mt, Ohio",US Aerial Mail Service,De Havilland DH-4,385,1,1,0,
103,"November 14, 1925","Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,F-AEGZ,1,1,0,The pilot suffered sunstroke lost control of the plane and crashed.
104,"November 14, 1925","Off Boulogne-sur-Mer, France",Air Union,Farman F-60 Goliath,F-AMFY,2,2,0,
105,"February 12, 1926","Montpelier, Ohio",US Aerial Mail Service,Curtiss Carrier Pigeon,602,1,1,0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."
106,"March 08, 1926","Staaken, Germany",Deutche Lufthansa,Junkers F-13,"D-290
D-290",1,1,0,While in a training filight the aircraft stalled and crashed while attempting to land.
107,"May 31, 1926",English Channel,Air Union,Breguet 14,F-ADAI,1,1,0,The mail plane crashed into the English Channel and was never found.
108,"July 03, 1926","Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Caudron C-61,F-AFBT,6,6,0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
109,"July 09, 1926","Wolvertem, Belgium",KLM Royal Dutch Airlines,Fokker F7,H-NACC,2,2,0,Crashed into the ground while descending in poor weather.
110,"July 24, 1926","Juist, Germany",Deutsche Lufthansa,Junkers F-13,D-272,5,5,0,Weather related.
111,"August 18, 1926","Hurst, Kent, England",Air Union,Bleriot 155,F-AIEB,4,4,0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
112,"September 26, 1926","New York, New York",,Sikorsky S-25,,5,2,0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.
113,"October 02, 1926","Leigh, Kent, Unied Kingdom",Air Union,Bleriot 155,F- AICQ,7,7,0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
114,"October 08, 1926","Bueren, Germany",Deutsche Lufthansa,Fokker FG III,D-468,4,4,0,Weather related.
115,"October 21, 1926",English Channel,Imperial Airways,Handley Page W-10,G-EBMS,12,0,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
116,"November 11, 1926","Cape Bojador, Morocco",Grands Express Aeriens,Breguet 14,F-AFAX,3,3,0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed."
117,"December 16, 1926","Medford, Oregon",Pacific Air Transport,Ryan M-1,2,1,1,0,The postal plane crashed into a mountain slope in foggy conditions.
119,"March 20, 1927","Rabat, Morocco",Grands Express Aeriens,Breguet 14,F-ALRA,1,1,0,Unknown.
120,"March 24, 1927","Tambo, Qld, Australia",Qantas,de Havilland DH-9C,G-AUED,3,3,0,"While attempting to land, the engine failed, the aircraft stalled and crashed."
121,"April 15, 1927","King Hill, Idaho",Varney Air Lines,"Swallow
Swallow",,1,1,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
122,"April 22, 1927","Floh, Germany",Deutsche Lufthansa,Fokker FG III,D-729,2,2,0,Crashed following engine failure.
123,"April 22, 1927","Goshen, Indiana",US Aerial Mail Service,Douglas M-4,626,1,1,0,
124,"May 02, 1927","Algiers, Algeria",Air Union,SPCA Meteore 63,F-AIFN,3,1,0,The three engine seaplane stalled and crashed into the sea shortly after taking off.
125,"July 27, 1927","Amoneburg, Germany",Deutsche Lufthansa,Junkers F-13,D-206,5,5,0,Crashed after experiencing engine failure and attempting to make a forced landing.
126,"August 22, 1927","Sevenoaks, England",KLM Royal Dutch Airlines,Fokker F-VIII,"H-NADU
H-NADU",11,1,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
127,"September 03, 1927","Willington, Connecticut",Colonial Air Transport,Fokker Universal,"NC52  	
NC52",1,1,0,The postal plane crashed for unknown reasons.
128,"September 17, 1927","Hadley, New Jersey",Reynolds Airways,Fokker F-VII,NC776,12,7,0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
129,"September 17, 1927",Atlantic Ocean,Private,Fokker F7,NX703,3,3,0,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight."
130,"September 23, 1927","Schleiz, Germany",Deutsche Lufthansa,Dornier Merkur,D-585,6,6,0,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.
131,"October 06, 1927","Thies, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,F-AGBN,2,2,0,The plane crashed while attempting to land at Dakar.
132,"October 30, 1927","New Brunswick, New Jersey",Colonial Air Transport,Fairchild FC-2,,4,4,0,Went into a tailspin and crashed into a corn field about 10 km from the airport.
133,"November 08, 1927","Strasburg, France",CIDNA,Farman F-121 Jabiru,F-AIBR,1,1,0,The mail plane crashed shortly after taking off.
134,"November 16, 1927",Over the Gulf of Finland,Aero O-Y,Junkers F-13,K-SALD,6,6,0,Crashed in the gulf of Finland and never found.
135,"November 29, 1927","Corunna, Indiana",National Air Transport,Douglas M-4,"NC62  	
NC1062",1,1,0,The postal plane crashed at night in poor weather.
136,"December 28, 1927","Almeria, Spain",Aeropostale,Breguet 14,F-AFGS,1,1,0,A fire erupted aboard the mail plane while en route and crashed.
137,"December 31, 1927","Near Marseille,France",Latecoere Airlines,Latécoère 23 (flying boat),F-AIHP,5,5,0,"Suffered structural failure at an altitude of 1,000 ft."
138,"January 08, 1928","Near Canajoharie, New York",Colonial Western Airlines,Fairchild FC-2,NC3780,3,3,0,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..
139,"January 16, 1928","Solis, Uruguay",Aeropostale,Latecoere 25,F-AIKG,2,2,0,The wing on the mail plane detached from the aircraft and crashed into the sea.
140,"January 22, 1928","L'Hospitalet, Ariège",Aeropostale,Breguet 14,F-AHEQ,1,1,0,Crashed after experiencing mechanical difficulties.
141,"January 22, 1928","Tarragona, Spain",Aeropostale,Breguet 14,F-AHEQ,2,2,0,Crashed in unknown circumstances.
142,"January 27, 1928","Almeria, Spain",Aeropostale,Breguet 14,F-AFHN,1,1,0,After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.
143,"February 26, 1928","Marquette, Nebraska",Boeing Air Transport,Boeing 40,NC280,2,1,0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.
144,"March 11, 1928","Off Cape Griz Nez, France",Air Union,Farman F-60 Goliath,F-AEFC,2,2,0,Crashed into the sea while delivering mail in poor weather.
145,"April 17, 1928","Federal, Wyoming",Boeing Air Transport,Boeing 40,"NC282
NC282",2,1,0,Spatial disorientation after entering a snowstorm.
146,"April 19, 1928","Minuesa, Spain",Iberia Airlines,Rohrbach Roland,M-CCCC,9,9,0,Crashed into a field after getting lost in fog.
147,"May 07, 1928","Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, Brazil",Aeropostale,Latecoere 26,F-AIMQ,5,1,0,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.
148,"May 12, 1928","Dearborn, Minnesota",Ford Air Freight Inc.,Ford 4,NC1492,2,2,0,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.
149,"May 26, 1928","Radevormwald, Germany",Deutsche Lufthansa,Junkers F-13,D-583,5,3,0,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error."
150,"June 14, 1928","Frankfurt, Germany",Deutsche Lufthansa,AEGK,D-74,5,5,0,"The ""Viper"" crashed for unknown reasons."
151,"June 22, 1928","Lebo, Kansas",National Air Transport,Douglas M-4,NC1059,1,1,0,The mail plane flew into tornado like winds and crashed in a field.
152,"July 10, 1928",Over the Gulf of Finland,Aero O-Y,Junkers F-13,K-SALB,6,6,0,Crashed under unknown circumstances
153,"July 13, 1928","Purley, England",Imperial Airways,Vickers 74 Vulcan,G-EBLB,6,4,0,Crashed to the ground shortly after taking off killing two men and two women.
154,"July 24, 1928","Waalhaven, Netherlands",KLM Royal Dutch Airlines,Fokker (KLM) F.III,H-NABR,6,1,0,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven."
155,"August 25, 1928","Near Port Townsend, BC, Canada",British Columbia Airways,Ford 4-AT-B Tri Motor,G-CATX,7,7,0,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.
156,"September 02, 1928","Toul, France",CIDNA,Bleriot Spad 33,F-AIEP,5,5,0,"After taking off the engine failed, the plane stalled and crashed."
157,"September 04, 1928","Adelaide Hills, Australia",Qantas,de Havilland DH.50J,G-AUHI,2,1,0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire."
158,"September 04, 1928","Pocatello, Idaho",National Parks Airways,Fokker Super Universal,NC7242,7,7,0,"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times."
159,"September 06, 1928","Heroldbach, Germany",Deutsche Lufthansa,Fokker FG III,D-180,3,3,0,Crashed due to engine failure.
160,"October 04, 1928","Gerona, Spain",Aeropostale,Breguet 14,"F-AEEJ
F-AEEJ",3,3,0,"Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes, south of Llancà,"
161,"October 18, 1928","Polk, Pennsylvania",National Air Transport,Douglas M-4,NC1064,1,1,0,The mail plane crashed into a hill and burned during the night during poor weather conditons.
162,"October 31, 1928","Valence, France",Air Union,Bleriot Spad 56,F-AIMN,2,1,0,The pilot attempted an emergency landing in a muddy field and crashed.
163,"November 15, 1928",Off Gibraltar,Aeropostale,Latecoere 32,F-AISN,3,1,0,The sea plane stuck a lightning mast and crashed into houses. Pilot error.
164,"November 24, 1928","Edgerton, Ohio",Universal Airlines,Hamilton H-47,NC7521,3,3,0,The mail plane crashed in a heavy snow storm.
165,"November 25, 1928","Edgerton, Ohio",Continental Air Lines,Travel Air 4000,NC5436,1,1,0,The mail plane crashed in a heavy snow storm
