,month,day,year,char_unknow,time_hour,time_minutes,operator,category_operator,ac_type,category_ac_type,country,route,aboard_people,fatalities_total,ground_deads,summary
23,December,16,1918,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
24,May,25,1919,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
25,July,19,1919,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,Unknown
26,August,02,1919,not c,Unknown,Unknown,Caproni Company,Company,Caproni Ca.48,No category,Italy,Venice  Taliedo,14 ,14 ,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
27,October,02,1919,not c,Unknown,Unknown,Aircraft Transport and Travel,Transport,De Havilland DH-4,No category,England,Unknown,1 ,1 ,0,Unknown
28,October,14,1919,not c,Unknown,Unknown,US Aerial Mail Service,Services,Curtiss R-4LM,No category,United States,Unknown,1 ,1 ,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed in a wooded area."
29,October,20,1919,not c,Unknown,Unknown,Aircraft Transport and Travel,Transport,De Havilland DH-4,No category,Kent,Unknown,0 ,0 ,0,Unknown
30,October,30,1919,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH.4,No category,United States,Unknown,1 ,1 ,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
31,December,11,1919,not c,Unknown,Unknown,Aircraft Travel Transport,Transport,de Havilland DH-4,No category,UK,Paris - Hounslow,1 ,1 ,0,Crashed in a field while attemptting to land.
32,March,10,1920,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
33,March,30,1920,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Washington - Newark,1 ,1 ,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
34,April,10,1920,not c,Unknown,Unknown,US Aerial Mail Service,Services,Curtiss R-4LM,No category,United States,Unknown,2 ,1 ,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed near Newark.
35,April,11,1920,not c,Unknown,Unknown,US Aerial Mail Service,Services,Curtiss JN-4H,No category,United States,Unknown,2 ,1 ,0,The aircraft crashed while on approach for unknown reasons.
36,May,12,1920,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,2 ,1 ,0,"The pilot lost his orientation after weather conditions worsened, He eventually lost control of the plane and crashed in a field."
37,June,06,1920,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,The aircraft suffered engine failure and crashed shortly after taking off.
38,June,20,1920,not c,Unknown,Unknown,Compañia Colombiana de Navegación Aérea,Company,Farman F-40,No category,Columbia,Unknown,1 ,1 ,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
39,August,16,1920,not c,Unknown,Unknown,By Air,Air,Armstrong-Whitworth F-K-8,No category,England,Unknown,1 ,1 ,0,The plane crashed during a cargo flight under unknown circumstances.
40,August,16,1920,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
41,September,01,1920,not c,Unknown,Unknown,US Aerial Mail Service,Services,Junkers JL-6,No category,United States,Unknown,2 ,2 ,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
42,September,15,1920,not c,Unknown,Unknown,US Aerial Mail Service,Services,Junkers F-13,No category,United States,Unknown,2 ,2 ,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.
43,September,27,1920,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
44,October,02,1920,not c,Unknown,Unknown,Latecoere Airlines,Air,Salmson 2-A-2,No category,France,Unknown,2 ,2 ,0,Crashed into the Mediterranean while on a mail flight.
45,October,05,1920,not c,Unknown,Unknown,Latecoere Airlines,Air,Breguet 14,No category,Spain,Unknown,2 ,2 ,0,While on a mail flight the plane crashed while attempting to land.
46,October,15,1920,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,While attempting to land in fog the aircraft hit an obstruction and crashed.
47,November,07,1920,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,The aircraft crashed into a mountain in poor weather condtions.
48,December,14,1920,c,12,15,Handley Page Transport,Transport,Handley Page HP-16,No category,England,London - Paris,8 ,4 ,0,The plane failed to gain altitude after taking off and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
49,December,24,1920,not c,Unknown,Unknown,Aeropostale,No category,Breguet 14,No category,Spain,Unknown,1 ,1 ,0,The aircraft stalled and crashed when an engine failed.
50,February,03,1921,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,Minnisota,Unknown,1 ,1 ,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
51,February,09,1921,not c,Unknown,Unknown,US Aerial Mail Service,Services,Junkers F-13,No category,United States,Unknown,3 ,3 ,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.
52,February,15,1921,not c,Unknown,Unknown,Aeropostale,No category,Breguet 14,No category,Off Gibraltar,Unknown,2 ,2 ,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
53,February,22,1921,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,"Shortly after taking off, the aircraft stalled and crashed ."
54,April,06,1921,not c,Unknown,Unknown,Military - Royal Australian Air Force,Military,Avro 504,No category,Australia,Unknown,2 ,2 ,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
55,April,21,1921,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,NY,Unknown,1 ,1 ,0,After taking off the aircraft stalled and crashed.
56,April,29,1921,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
57,May,17,1921,not c,Unknown,Unknown,US Aerial Mail Service,Services,"De Havilland DH-4
De Havilland DH-4",No category,United States,Unknown,1 ,1 ,0,Crashed while attempting to land.
58,August,14,1921,not c,Unknown,Unknown,Aeropostale,No category,Breguet 14,No category,France,Unknown,2 ,2 ,0,Unknown
59,August,24,1921,c,17,40,Military - Royal Airship Works,Military,Royal Airship Works ZR-2 (airship),No category,England,Unknown,46 ,46 ,1,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.
60,September,06,1921,not c,Unknown,Unknown,Franco-Roumaine,Air,Potez IX,No category,France,Warsaw - Prague - Strasbourg - Paris,5 ,5 ,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
61,December,05,1921,not c,Unknown,Unknown,West Australian Airways,Air,Bristol 28 Tourer,No category,Australia,Geraldton - Derby,2 ,2 ,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
62,January,14,1922,not c,Unknown,Unknown,Handley Page Transport,Transport,Handley Page O/10,No category,France,Unknown,5 ,5 ,5,Crashed at Le Bourget field.
63,February,21,1922,not c,Unknown,Unknown,Military - U.S. Army Air Service,Military,Dirigible Roma (airship),No category,United States,Unknown,45 ,34 ,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
64,March,22,1922,not c,11,40,Aero Limited,No category,Aeromarine Model 85 (flying boat),No category,North Atlantic Ocean,Miami - Bimini,6 ,5 ,0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
65,April,07,1922,not c,13,15,Daimler Airways / Grands Express Aeriens,Air,de Havilland DH-18 / Farman F-60 Goliath,No category,France,Croydon - Le Bourget,7 ,7 ,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
66,April,08,1922,not c,Unknown,Unknown,Unknown,No category,Unknown,No category,China,Test,17 ,17 ,0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
67,June,03,1922,not c,Unknown,Unknown,Cie des Messageries Aeriennes,No category,Bleriot Spad 27,No category,England,Croydon - Paris,3 ,3 ,0,Went down into the English Channel while en route.
68,July,04,1922,not c,Unknown,Unknown,Unknown,No category,LVG C VI,No category,Germany,Hamburg - Berlin,3 ,2 ,0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
69,July,16,1922,c,16,45,Compagnie Franco-Roumaine de Navigaation Aerienne,Air,Potez 29,No category,France,Strasbourg - Paris,5 ,5 ,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
70,July,26,1922,not c,Unknown,Unknown,Grands Express Aeriens,No category,Breguet 14,No category,Spain,Unknown,3 ,3 ,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
71,September,07,1922,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,The plane stalled shortly after takeoff and crashed.
72,October,02,1922,not c,Unknown,Unknown,Unknown,No category,de Havilland DH-9,No category,Italy,Venice - London,4 ,4 ,0,Shortly after taking off the plane crashed into the sea and sank.
73,October,25,1922,not c,Unknown,Unknown,Grands Express Aeriens,No category,Breguet 14,No category,Morocco,Unknown,2 ,2 ,0,Crashed while on a flight from France.
74,December,03,1922,not c,Unknown,Unknown,Grands Express Aeriens,No category,Breguet 14,No category,Morocco,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,1 ,1 ,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
75,January,10,1923,not c,Unknown,Unknown,Amee de l'Air,Air,Lioré-et-Olivier H-13,No category,France,Unknown,4 ,3 ,0,The plane crashed mid-air due to a structural failure of the tail.
76,January,17,1923,not c,Unknown,Unknown,Grands Express Aeriens,No category,Breguet 14,No category,Spain,Unknown,1 ,1 ,0,Crashed into a mountain during a snowstorm.
77,January,18,1923,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,Crashed during a mail flight.
78,February,26,1923,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,The pilot lost control of the aircraft  while on approach in poor weather conditions.
79,May,14,1923,c,13,40,Grands Express Aeriens (Air Union),Air,Farman F-60 Goliath,No category,France,Paris - London,6 ,6 ,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
80,August,27,1923,not c,Unknown,Unknown,Campagnie France Roumaine,Air,Blériot Spad 46,No category,Romania,Unknown,2 ,2 ,0,Crashed while on approach to Bucharesst.
81,September,07,1923,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,Crashed during an emergency landing attempt.
82,September,14,1923,c,18,00,Daimler Airways,Air,de Havilland DH-34,No category,England,Croydon - Manchester,5 ,5 ,0,Crashed while attempting a forced landing after encountering heavy rain.
83,November,18,1923,not c,Unknown,Unknown,CCCP,No category,Junkers F-13,No category,Russia,Unknown,5 ,3 ,0,Crashed during a training flight.
84,December,06,1923,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,Unknown
85,December,23,1923,c,02,30,Military - French Navy,Military,Zeppelin Dixmunde (airship),No category,Over the Mediterranean Sea,Toulon - Algiers,52 ,52 ,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
86,December,24,1923,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,WY,Unknown,1 ,1 ,0,Crashed into a montain in poor weather conditions.
87,March,07,1924,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,Unknown
88,April,24,1924,not c,Unknown,Unknown,KLM Royal Dutch Airlines,Air,Fokker F.III,No category,Over the English Channel,"Lympne, England - Rotterdam, The Netherlands",3 ,3 ,0,Unknown
89,June,08,1924,not c,Unknown,Unknown,SCADTA,No category,Junkers F-13,No category,Colombia,Barranquilla - Bogota,5 ,5 ,0,Stalled after taking off and crashed into a tree.
90,August,01,1924,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,Unknown
91,November,06,1924,not c,Unknown,Unknown,Grands Express Aeriens,No category,Unknown,No category,France,Unknown,1 ,1 ,0,Unknown
92,December,21,1924,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,Unknown
93,December,24,1924,c,12,00,Imperial Airways,Air,de Havilland DH-34B,No category,England,London - Paris,8 ,8 ,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing."
94,March,22,1925,not c,Unknown,Unknown,Zakavia,No category,Junkers F-13,No category,USSR,Tiflis - Suchumi,5 ,5 ,0,Shortly after take off the plane went out of control and crashed in flames.
95,April,25,1925,not c,Unknown,Unknown,Grands Express Aeriens,No category,Breguet 14,No category,Spain,Alicante - Barcelona - Toulouse,3 ,3 ,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
96,June,25,1925,not c,Unknown,Unknown,KLM Royal Dutch Airlines,Air,Fokker (KLM)  F.III,No category,France,Amsterdam - Paris,4 ,4 ,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
97,June,26,1925,not c,Unknown,Unknown,Grands Express Aeriens,No category,Lioré-et-Olivier LeO H-13,No category,Spain,Oran - Alicante,2 ,2 ,0,While attempting to land the seaplane hit a lightning mast and crashed.
98,July,20,1925,not c,Unknown,Unknown,Lignes Aeriennes Latecoere,No category,Breguet 14,No category,Spain,Toulouse - Barcelona,1 ,1 ,0,Crashed in unknown circumstance.
99,July,24,1925,not c,Unknown,Unknown,CIDNA,No category,Potez IX,No category,Hungary,Unknown,1 ,1 ,0,Crashed while attempting to land 10 km from the airport
100,September,03,1925,c,05,30,Military - U.S. Navy,Military,Dirigible ZR-1 Shenandoah (airship),No category,United States,"Lakehurst, NJ - S.t Louis, MO",43 ,14 ,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
101,September,07,1925,not c,Unknown,Unknown,CIDNA,No category,Spad 33,No category,France,Unknown,? ,? ,0,Unknown
102,October,01,1925,not c,Unknown,Unknown,US Aerial Mail Service,Services,De Havilland DH-4,No category,United States,Unknown,1 ,1 ,0,Unknown
103,November,14,1925,not c,Unknown,Unknown,Lignes Aeriennes Latecoere,No category,Breguet 14,No category,Mauritania,Unknown,1 ,1 ,0,The pilot suffered sunstroke lost control of the plane and crashed.
104,November,14,1925,not c,Unknown,Unknown,Air Union,Air,Farman F-60 Goliath,No category,France,Unknown,2 ,2 ,0,Unknown
105,February,12,1926,not c,Unknown,Unknown,US Aerial Mail Service,Services,Curtiss Carrier Pigeon,No category,United States,Unknown,1 ,1 ,0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."
106,March,08,1926,not c,Unknown,Unknown,Deutche Lufthansa,No category,Junkers F-13,No category,Germany,Unknown,1 ,1 ,0,While in a training filight the aircraft stalled and crashed while attempting to land.
107,May,31,1926,not c,Unknown,Unknown,Air Union,Air,Breguet 14,No category,English Channel,Paris - Cryodon,1 ,1 ,0,The mail plane crashed into the English Channel and was never found.
108,July,03,1926,not c,Unknown,Unknown,Compagnie Internationale de Navigation Aérienne,No category,Caudron C-61,No category,Czechoslovakia,Paris - Prague - Budapest,6 ,6 ,0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
109,July,09,1926,not c,09,30,KLM Royal Dutch Airlines,Air,Fokker F7,No category,Belgium,Amsterdam - Rotterdam - Brussels - Paris,2 ,2 ,0,Crashed into the ground while descending in poor weather.
110,July,24,1926,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers F-13,No category,Germany,Unknown,5 ,5 ,0,Weather related.
111,August,18,1926,not c,Unknown,Unknown,Air Union,Air,Bleriot 155,No category,England,"Lebourget, France - Croydon, England",4 ,4 ,0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
112,September,26,1926,not c,Unknown,Unknown,Unknown,No category,Sikorsky S-25,No category,United States,New York - Paris,5 ,2 ,0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.
113,October,02,1926,not c,Unknown,Unknown,Air Union,Air,Bleriot 155,No category,Unied Kingdom,Paris - London,7 ,7 ,0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
114,October,08,1926,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Fokker FG III,No category,Germany,Unknown,4 ,4 ,0,Weather related.
115,October,21,1926,c,13,15,Imperial Airways,Air,Handley Page W-10,No category,English Channel,Croydon - Paris,12 ,0 ,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
116,November,11,1926,not c,08,00,Grands Express Aeriens,No category,Breguet 14,No category,Morocco,Casablanca -Dakar,3 ,3 ,0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed."
117,December,16,1926,not c,Unknown,Unknown,Pacific Air Transport,Transport,Ryan M-1,No category,United States,Unknown,1 ,1 ,0,The postal plane crashed into a mountain slope in foggy conditions.
118,January,12,1927,not c,Unknown,Unknown,Fokker,No category,Fokker F-VII,No category,France,Delivery flight,0 ,0 ,0,The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.
119,March,20,1927,not c,Unknown,Unknown,Grands Express Aeriens,No category,Breguet 14,No category,Morocco,Casablanca - Oran,1 ,1 ,0,Unknown.
120,March,24,1927,not c,Unknown,Unknown,Qantas,No category,de Havilland DH-9C,No category,Australia,Charleville - Tambo - Blackall,3 ,3 ,0,"While attempting to land, the engine failed, the aircraft stalled and crashed."
121,April,15,1927,not c,Unknown,Unknown,Varney Air Lines,Air,"Swallow
Swallow",No category,United States,Unknown,1 ,1 ,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
122,April,22,1927,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Fokker FG III,No category,Germany,Charleville - Tambo - Blackall,2 ,2 ,0,Crashed following engine failure.
123,April,22,1927,not c,Unknown,Unknown,US Aerial Mail Service,Services,Douglas M-4,No category,United States,Unknown,1 ,1 ,0,Unknown
124,May,02,1927,not c,Unknown,Unknown,Air Union,Air,SPCA Meteore 63,No category,Algeria,Unknown,3 ,1 ,0,The three engine seaplane stalled and crashed into the sea shortly after taking off.
125,July,27,1927,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers F-13,No category,Germany,Kassel - Frankfurt,5 ,5 ,0,Crashed after experiencing engine failure and attempting to make a forced landing.
126,August,22,1927,c,08,30,KLM Royal Dutch Airlines,Air,Fokker F-VIII,No category,England,Croydon - Schiphol,11 ,1 ,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
127,September,03,1927,not c,Unknown,Unknown,Colonial Air Transport,Transport,Fokker Universal,No category,United States,Unknown,1 ,1 ,0,The postal plane crashed for unknown reasons.
128,September,17,1927,not c,Unknown,Unknown,Reynolds Airways,Air,Fokker F-VII,No category,United States,Sightseeing,12 ,7 ,0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
129,September,17,1927,not c,04,05,Private,No category,Fokker F7,No category,Atlantic Ocean,Old Orchad Beach - Rome,3 ,3 ,0,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight."
130,September,23,1927,not c,10,00,Deutsche Lufthansa,No category,Dornier Merkur,No category,Germany,Berlin - Munich,6 ,6 ,0,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.
131,October,06,1927,not c,Unknown,Unknown,Lignes Aeriennes Latecoere,No category,Breguet 14,No category,Mauritania,Saint Louis - Dakar,2 ,2 ,0,The plane crashed while attempting to land at Dakar.
132,October,30,1927,not c,Unknown,Unknown,Colonial Air Transport,Transport,Fairchild FC-2,No category,United States,Unknown,4 ,4 ,0,Went into a tailspin and crashed into a corn field about 10 km from the airport.
133,November,08,1927,not c,Unknown,Unknown,CIDNA,No category,Farman F-121 Jabiru,No category,France,Strasbourg - Paris,1 ,1 ,0,The mail plane crashed shortly after taking off.
134,November,16,1927,not c,Unknown,Unknown,Aero O-Y,No category,Junkers F-13,No category,Over the Gulf of Finland,Tallinn - Helsinki,6 ,6 ,0,Crashed in the gulf of Finland and never found.
135,November,29,1927,not c,Unknown,Unknown,National Air Transport,Transport,Douglas M-4,No category,United States,Unknown,1 ,1 ,0,The postal plane crashed at night in poor weather.
