,date_time,location,operator,flight_no,route,ac_type,registration,cn_ln,summary,total_aboard,total_passengers,total_crew,total_fatalities,passenger_fatalities,crew_fatalities,ground_fatalities
15,1917-05-14 05:15:00,"Near Texel Island, North Sea",Military - German Navy,NoData,NoData,Zeppelin L-22 (airship),NoData,NoData,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",21,NoData,NoData,21,NoData,NoData,0
16,1917-06-14 08:45:00,"Off Vlieland Island, North Sea",Military - German Navy,NoData,NoData,Zeppelin L-43 (airship),NoData,NoData,Shot down by British aircraft.,24,NoData,NoData,24,NoData,NoData,0
17,1917-06-17 00:00:00,"Near Yarmouth, England",NoData,NoData,NoData,Zepplin LZ-95 (air ship),L-48,NoData,Shot down by aircraft.,16,NoData,NoData,14,NoData,NoData,0
18,1917-08-21 07:00:00,Off western Denmark,Military - German Navy,NoData,NoData,Zeppelin L-23 (airship),NoData,NoData,Shot down by British aircraft.,18,NoData,NoData,18,NoData,NoData,0
19,1917-10-20 07:45:00,"Near Luneville, France",Military - German Navy,NoData,NoData,Zeppelin L-44 (airship),NoData,NoData,Shot down by French anti-aircraft fire.,18,NoData,NoData,18,NoData,NoData,0
20,1918-04-07 21:30:00,Over the Mediterranean,Military - German Navy,NoData,NoData,Zeppelin L-59 (airship),NoData,NoData,Exploded and crashed into the sea off the southern coast of Italy.,23,NoData,NoData,23,NoData,NoData,0
21,1918-05-10 00:00:00,"Off Helgoland Island, Germany",Military - German Navy,NoData,NoData,Zeppelin L-70 (airship),NoData,NoData,"Shot down by British aircraft crashing from a height of 17,000 ft.",22,NoData,NoData,22,NoData,NoData,0
22,1918-08-11 10:00:00,"Ameland Island, North Sea",Military - German Navy,NoData,NoData,Zeppelin L-53 (airship),NoData,NoData,Shot down by british aircraft.,19,NoData,NoData,19,NoData,NoData,0
23,1918-12-16 00:00:00,"Elizabeth, New Jersey",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,97,NoData,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,1,0,1,1,0,1,0
24,1919-05-25 00:00:00,"Cleveland, Ohio",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,61,NoData,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,1,0,1,1,0,1,0
25,1919-07-19 00:00:00,"Dix Run, Pennsylvania",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,82,NoData,NoData,1,0,1,1,0,1,0
26,1919-08-02 00:00:00,"Verona, Italy",Caproni Company,NoData,Venice  Taliedo,Caproni Ca.48,NoData,NoData,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,14,12,2,14,12,2,0
27,1919-10-02 00:00:00,"Newcastle, England",Aircraft Transport and Travel,NoData,NoData,De Havilland DH-4,NoData,NoData,NoData,1,0,1,1,0,1,0
28,1919-10-14 00:00:00,"Cantonsville, Maryland",US Aerial Mail Service,NoData,NoData,Curtiss R-4LM,32,NoData,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed in a wooded area.",1,0,1,1,0,1,0
29,1919-10-20 00:00:00,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,NoData,NoData,De Havilland DH-4,G-EAHG,NoData,NoData,0,NoData,NoData,0,NoData,NoData,0
30,1919-10-30 00:00:00,"Long Valley, New Jersey",US Aerial Mail Service,NoData,NoData,De Havilland DH.4,77,77,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",1,0,1,1,0,1,0
31,1919-12-11 00:00:00,"Catherham, Surrey, UK",Aircraft Travel Transport,NoData,Paris - Hounslow,de Havilland DH-4,G-EAHF,NoData,Crashed in a field while attemptting to land.,1,1,1,1,1,1,0
32,1920-03-10 00:00:00,"New Paris, Indiana",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,65,NoData,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",1,0,1,1,0,1,0
33,1920-03-30 00:00:00,"Newark, New Jersey",US Aerial Mail Service,NoData,Washington - Newark,De Havilland DH-4,72,NoData,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,1,0,1,1,0,1,0
34,1920-04-10 00:00:00,"Newark, New Jersey",US Aerial Mail Service,NoData,NoData,Curtiss R-4LM,49,NoData,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed near Newark.,2,1,1,1,NoData,NoData,0
35,1920-04-11 00:00:00,"Heller Field, New Jersey",US Aerial Mail Service,NoData,NoData,Curtiss JN-4H,44,NoData,The aircraft crashed while on approach for unknown reasons.,2,1,1,1,0,1,0
36,1920-05-12 00:00:00,"Oskaloosa, Iowa",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,79,NoData,"The pilot lost his orientation after weather conditions worsened, He eventually lost control of the plane and crashed in a field.",2,1,1,1,NoData,NoData,0
37,1920-06-06 00:00:00,"Cleveland, Ohio",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,204,NoData,The aircraft suffered engine failure and crashed shortly after taking off.,1,0,1,1,0,1,0
38,1920-06-20 00:00:00,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,NoData,NoData,Farman F-40,NoData,NoData,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,1,1,1,1,1,1,0
39,1920-08-16 00:00:00,"Bedford, England",By Air,NoData,NoData,Armstrong-Whitworth F-K-8,G-EALW,NoData,The plane crashed during a cargo flight under unknown circumstances.,1,0,1,1,0,1,0
40,1920-08-16 00:00:00,"College Park, Maryland",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,317,NoData,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",1,0,1,1,0,1,0
41,1920-09-01 00:00:00,"Morristown, New Jersey",US Aerial Mail Service,NoData,NoData,Junkers JL-6,305,NoData,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",2,0,2,2,0,2,0
42,1920-09-15 00:00:00,"Pemberville, Ohio",US Aerial Mail Service,NoData,NoData,Junkers F-13,308,NoData,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,2,NoData,NoData,2,NoData,NoData,0
43,1920-09-27 00:00:00,"Hillersburg, Pennsylvania",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,316,NoData,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,1,0,1,1,0,1,0
44,1920-10-02 00:00:00,"Off Port Vendres, France",Latecoere Airlines,NoData,NoData,Salmson 2-A-2,F-ALAI,31,Crashed into the Mediterranean while on a mail flight.,2,1,1,2,1,1,0
45,1920-10-05 00:00:00,"Valencia, Spain",Latecoere Airlines,NoData,NoData,Breguet 14,F-ALTA,20,While on a mail flight the plane crashed while attempting to land.,2,1,1,2,1,1,0
46,1920-10-15 00:00:00,"Batavia, Illinois",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,76,NoData,While attempting to land in fog the aircraft hit an obstruction and crashed.,1,0,1,1,0,1,0
47,1920-11-07 00:00:00,"Tie Siding, Wyoming",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,NoData,178,The aircraft crashed into a mountain in poor weather condtions.,1,0,1,1,0,1,0
48,1920-12-14 12:15:00,"London, England",Handley Page Transport,NoData,London - Paris,Handley Page HP-16,G-EAMA,HP-25,The plane failed to gain altitude after taking off and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,8,6,2,4,2,2,0
49,1920-12-24 00:00:00,"Barcelona, Spain",Aeropostale,NoData,NoData,Breguet 14,F-ALBO,57,The aircraft stalled and crashed when an engine failed.,1,0,1,1,0,1,0
50,1921-02-03 00:00:00,"Mendotta, Minnisota",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,130,NoData,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,1,0,1,1,0,1,0
51,1921-02-09 00:00:00,"La Crosse, Wisconsin",US Aerial Mail Service,NoData,NoData,Junkers F-13,301,NoData,Crashed for unknown reasons. Both pilots and the mechanic were killed.,3,0,3,3,0,3,0
52,1921-02-15 00:00:00,Off Gibraltar,Aeropostale,NoData,NoData,Breguet 14,F-ALBA,NoData,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,2,0,2,2,0,2,0
53,1921-02-22 00:00:00,"Elko, Nevada",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,67,NoData,"Shortly after taking off, the aircraft stalled and crashed .",1,0,1,1,0,1,0
54,1921-04-06 00:00:00,"Point Cook, Australia",Military - Royal Australian Air Force,NoData,NoData,Avro 504,H3021,NoData,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.",2,0,0,2,0,0,0
55,1921-04-21 00:00:00,"Mitchel Field, NY",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,160,NoData,After taking off the aircraft stalled and crashed.,1,0,1,1,0,1,0
56,1921-04-29 00:00:00,"Cleveland, Ohio",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,196,NoData,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",1,0,1,1,0,1,0
57,1921-05-17 00:00:00,"Rock Springs, Wyoming",US Aerial Mail Service,NoData,NoData,"De Havilland DH-4
De Havilland DH-4",176,NoData,Crashed while attempting to land.,1,0,1,1,0,1,0
58,1921-08-14 00:00:00,"Toulouse, France",Aeropostale,NoData,NoData,Breguet 14,F-ALBI,NoData,NoData,2,NoData,NoData,2,NoData,NoData,0
59,1921-08-24 17:40:00,"River Humber, England",Military - Royal Airship Works,NoData,NoData,Royal Airship Works ZR-2 (airship),R-38,R-38,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,46,0,46,46,0,46,1
60,1921-09-06 00:00:00,"Paris, France",Franco-Roumaine,NoData,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,5,4,1,5,4,1,0
61,1921-12-05 00:00:00,"Near Murchinson River, Australia",West Australian Airways,NoData,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,2,0,2,2,0,2,0
62,1922-01-14 00:00:00,"Paris, France",Handley Page Transport,NoData,NoData,Handley Page O/10,G-EATN,HP-43,Crashed at Le Bourget field.,5,4,1,5,4,1,5
63,1922-02-21 00:00:00,"Near Norfolk, Virginia",Military - U.S. Army Air Service,NoData,NoData,Dirigible Roma (airship),NoData,NoData,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,45,NoData,NoData,34,NoData,NoData,0
64,1922-03-22 11:40:00,North Atlantic Ocean,Aero Limited,NoData,Miami - Bimini,Aeromarine Model 85 (flying boat),NoData,NoData,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",6,5,1,5,5,0,0
65,1922-04-07 13:15:00,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,NoData,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",7,5,2,7,5,2,0
66,1922-04-08 00:00:00,"Pao Ting Fou, China",NoData,NoData,Test,NoData,NoData,NoData,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,17,0,17,17,0,17,0
67,1922-06-03 00:00:00,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,NoData,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,Went down into the English Channel while en route.,3,2,1,3,2,1,0
68,1922-07-04 00:00:00,"Fuhlsbuttel, Germany",NoData,NoData,Hamburg - Berlin,LVG C VI,NoData,NoData,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).",3,2,1,2,1,1,0
69,1922-07-16 16:45:00,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,NoData,Strasbourg - Paris,Potez 29,F-FREI,25,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,5,4,1,5,4,1,0
70,1922-07-26 00:00:00,"Cadix, Spain",Grands Express Aeriens,NoData,NoData,Breguet 14,F-ALVE,117,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",3,2,1,3,2,1,0
71,1922-09-07 00:00:00,"Indianapolis, Indiana",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,227,NoData,The plane stalled shortly after takeoff and crashed.,1,0,1,1,0,1,0
72,1922-10-02 00:00:00,"Venice, Italy",NoData,NoData,Venice - London,de Havilland DH-9,G-EAYT,14,Shortly after taking off the plane crashed into the sea and sank.,4,3,1,4,3,1,0
73,1922-10-25 00:00:00,"Larache, Morocco",Grands Express Aeriens,NoData,NoData,Breguet 14,NoData,NoData,Crashed while on a flight from France.,2,1,1,2,1,1,0
74,1922-12-03 00:00:00,"Fez, Morocco",Grands Express Aeriens,NoData,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,1,0,1,1,0,1,0
75,1923-01-10 00:00:00,"Ajaccio, France",Amee de l'Air,NoData,NoData,Lioré-et-Olivier H-13,F-AEIB,4,The plane crashed mid-air due to a structural failure of the tail.,4,2,2,3,1,2,0
76,1923-01-17 00:00:00,"Barcelona, Spain",Grands Express Aeriens,NoData,NoData,Breguet 14,F-ALJU,6083-130,Crashed into a mountain during a snowstorm.,1,0,1,1,0,1,0
77,1923-01-18 00:00:00,"Cheyenne, Wyoming",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,223,NoData,Crashed during a mail flight.,1,0,1,1,0,1,0
78,1923-02-26 00:00:00,"Meadville, Pennsylvania",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,291,NoData,The pilot lost control of the aircraft  while on approach in poor weather conditions.,1,0,1,1,0,1,0
79,1923-05-14 13:40:00,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),NoData,Paris - London,Farman F-60 Goliath,F-AEBY,15,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.",6,4,2,6,4,2,0
80,1923-08-27 00:00:00,"Bucharest, Romania",Campagnie France Roumaine,NoData,NoData,Blériot Spad 46,F-AEGN,28,Crashed while on approach to Bucharesst.,2,1,1,2,1,1,0
81,1923-09-07 00:00:00,"Colton, Ohio",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,283,NoData,Crashed during an emergency landing attempt.,1,0,1,1,0,1,0
82,1923-09-14 18:00:00,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,NoData,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,Crashed while attempting a forced landing after encountering heavy rain.,5,3,2,5,3,2,0
83,1923-11-18 00:00:00,Russia,CCCP,NoData,NoData,Junkers F-13,D-257,NoData,Crashed during a training flight.,5,2,3,3,1,2,0
84,1923-12-06 00:00:00,"Castalia, Ohio",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,318,NoData,NoData,1,0,1,1,0,1,0
85,1923-12-23 02:30:00,Over the Mediterranean Sea,Military - French Navy,NoData,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,NoData,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",52,NoData,NoData,52,NoData,NoData,0
86,1923-12-24 00:00:00,"Egbert, WY",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,315,NoData,Crashed into a montain in poor weather conditions.,1,0,1,1,0,1,0
87,1924-03-07 00:00:00,"Grampian, Pennsylvania",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,327,NoData,NoData,1,0,1,1,0,1,0
88,1924-04-24 00:00:00,Over the English Channel,KLM Royal Dutch Airlines,NoData,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,NoData,3,2,1,3,2,1,0
89,1924-06-08 00:00:00,"Barranquilla, Colombia",SCADTA,NoData,Barranquilla - Bogota,Junkers F-13,A16,NoData,Stalled after taking off and crashed into a tree.,5,3,2,5,3,2,0
90,1924-08-01 00:00:00,United States,US Aerial Mail Service,NoData,NoData,De Havilland DH-4,297,NoData,NoData,1,0,1,1,0,1,0
91,1924-11-06 00:00:00,"Cabrerolles, France",Grands Express Aeriens,NoData,NoData,NoData,F-AFBD,NoData,NoData,1,0,1,1,0,1,0
92,1924-12-21 00:00:00,"Goshen, Indiana",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,311,NoData,NoData,1,0,1,1,0,1,0
93,1924-12-24 12:00:00,"Purley, England",Imperial Airways,NoData,London - Paris,de Havilland DH-34B,G-EBBX,36,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.",8,7,1,8,7,1,0
94,1925-03-22 00:00:00,"Near Tiflis, Georgia, USSR",Zakavia,NoData,Tiflis - Suchumi,Junkers F-13,R-RECA,590,Shortly after take off the plane went out of control and crashed in flames.,5,3,2,5,3,2,0
95,1925-04-25 00:00:00,"Alicante, Spain",Grands Express Aeriens,NoData,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.",3,1,2,3,1,2,0
96,1925-06-25 00:00:00,"Landrécies, France",KLM Royal Dutch Airlines,NoData,Amsterdam - Paris,Fokker (KLM)  F.III,H-NABM,1502,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.",4,3,1,4,3,1,0
97,1925-06-26 00:00:00,"Alicante, Spain",Grands Express Aeriens,NoData,Oran - Alicante,Lioré-et-Olivier LeO H-13,F-FREM,NoData,While attempting to land the seaplane hit a lightning mast and crashed.,2,0,2,2,0,2,0
98,1925-07-20 00:00:00,"Rosas, Spain",Lignes Aeriennes Latecoere,NoData,Toulouse - Barcelona,Breguet 14,F-AFBI,209,Crashed in unknown circumstance.,1,0,1,1,0,1,0
99,1925-07-24 00:00:00,"Budapest, Hungary",CIDNA,NoData,NoData,Potez IX,NoData,NoData,Crashed while attempting to land 10 km from the airport,1,0,1,1,0,1,0
100,1925-09-03 05:30:00,"Caldwell, Ohio",Military - U.S. Navy,NoData,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,NoData,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",43,NoData,NoData,14,NoData,NoData,0
101,1925-09-07 00:00:00,"Toul, France",CIDNA,NoData,NoData,Spad 33,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
102,1925-10-01 00:00:00,"Nittany Mt, Ohio",US Aerial Mail Service,NoData,NoData,De Havilland DH-4,385,NoData,NoData,1,0,1,1,0,1,0
103,1925-11-14 00:00:00,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,NoData,NoData,Breguet 14,F-AEGZ,168,The pilot suffered sunstroke lost control of the plane and crashed.,1,0,1,1,0,1,0
104,1925-11-14 00:00:00,"Off Boulogne-sur-Mer, France",Air Union,NoData,NoData,Farman F-60 Goliath,F-AMFY,NoData,NoData,2,NoData,NoData,2,NoData,NoData,0
105,1926-02-12 00:00:00,"Montpelier, Ohio",US Aerial Mail Service,NoData,NoData,Curtiss Carrier Pigeon,602,NoData,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area.",1,0,1,1,0,1,0
106,1926-03-08 00:00:00,"Staaken, Germany",Deutche Lufthansa,NoData,NoData,Junkers F-13,"D-290
D-290",665,While in a training filight the aircraft stalled and crashed while attempting to land.,1,0,1,1,0,1,0
107,1926-05-31 00:00:00,English Channel,Air Union,NoData,Paris - Cryodon,Breguet 14,F-ADAI,1908,The mail plane crashed into the English Channel and was never found.,1,0,1,1,0,1,0
108,1926-07-03 00:00:00,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,NoData,Paris - Prague - Budapest,Caudron C-61,F-AFBT,5307,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.,6,4,2,6,4,2,0
109,1926-07-09 09:30:00,"Wolvertem, Belgium",KLM Royal Dutch Airlines,NoData,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,H-NACC,4759,Crashed into the ground while descending in poor weather.,2,1,1,2,1,1,0
110,1926-07-24 00:00:00,"Juist, Germany",Deutsche Lufthansa,NoData,NoData,Junkers F-13,D-272,660,Weather related.,5,4,1,5,4,1,0
111,1926-08-18 00:00:00,"Hurst, Kent, England",Air Union,NoData,"Lebourget, France - Croydon, England",Bleriot 155,F-AIEB,2,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.,4,3,1,4,3,1,0
112,1926-09-26 00:00:00,"New York, New York",NoData,NoData,New York - Paris,Sikorsky S-25,NoData,NoData,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.,5,4,1,2,2,0,0
113,1926-10-02 00:00:00,"Leigh, Kent, Unied Kingdom",Air Union,NoData,Paris - London,Bleriot 155,F- AICQ,1,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..",7,5,2,7,5,2,0
114,1926-10-08 00:00:00,"Bueren, Germany",Deutsche Lufthansa,NoData,NoData,Fokker FG III,D-468,1554,Weather related.,4,3,1,4,3,1,0
115,1926-10-21 13:15:00,English Channel,Imperial Airways,NoData,Croydon - Paris,Handley Page W-10,G-EBMS,W10/3,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",12,10,2,0,0,0,0
116,1926-11-11 08:00:00,"Cape Bojador, Morocco",Grands Express Aeriens,NoData,Casablanca -Dakar,Breguet 14,F-AFAX,198,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.",3,3,0,3,3,0,0
117,1926-12-16 00:00:00,"Medford, Oregon",Pacific Air Transport,NoData,NoData,Ryan M-1,2,NoData,The postal plane crashed into a mountain slope in foggy conditions.,1,0,1,1,0,1,0
118,1927-01-12 00:00:00,"Estaires, France",Fokker,NoData,Delivery flight,Fokker F-VII,G-EBPL,4938,The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.,0,0,2,0,0,2,0
119,1927-03-20 00:00:00,"Rabat, Morocco",Grands Express Aeriens,NoData,Casablanca - Oran,Breguet 14,F-ALRA,NoData,Unknown.,1,0,1,1,0,1,0
