|Country code|Country name|Subject code|Subject|Scale|Decimals|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
34|CHI|Channel Islands|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..
35|CHL|Chile|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|34902.506|32991.999|34117.768|36288.632|40146.316|43611.631|49526.502|57054.853|58987.362|62225.323|60094.796|54018.577|56072.097|56409.461|62434.342|63805.8|65697.972|70098.372|73108.979|..|..|..
36|CHN|China|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|2460744.017|2584538.27|2695982.067|2878694.009|3058241.33|3320285.15|3463089.131|3469510.048|3324344.519|3318055.614|3405179.867|3487566.356|3694242.143|4525177.009|5288166.032|5790016.984|6414463.08|6791804.714|7031916.207|..|..|..
37|CIV|Cote d'Ivoire|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|5797.527|5636.179|4624.087|5892.869|5251.144|7132.315|8379.095|8173.743|6912.295|6266.903|6791.284|7726.369|7286.329|5460.163|7664.03|7825.378|7139.649|6384.247|7014.971|..|..|..
38|CMR|Cameroon|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|1738.158|1111.101|3795.345|3898.021|3817.347|4363.73|4602.085|3215.959|3208.625|3080.28|3432.312|3421.311|3417.644|3795.345|3956.693|3696.336|4264.721|6167.894|5302.482|..|..|..
39|COG|Congo, Rep.|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|1188.108|1265.115|1573.143|1543.807|2148.862|1565.809|1716.156|2343.213|777.404|821.408|1048.762|861.745|707.731|1085.432|1903.173|1606.146|1463.133|1591.478|1936.176|..|..|..
40|COK|Cook Islands|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|22.002|22.002|22.002|22.002|22.002|22.002|22.002|22.002|22.002|29.336|29.336|33.003|29.336|33.003|55.005|62.339|66.006|66.006|69.673|..|..|..
41|COL|Colombia|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|57337.212|57120.859|62049.307|64022.153|67571.809|59610.752|60523.835|64905.9|65976.664|56512.137|57923.932|56273.782|55661.393|57421.553|53772.888|59178.046|61561.596|63439.1|67700.154|..|..|..
42|COM|Comoros|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|77.007|77.007|77.007|77.007|77.007|80.674|66.006|66.006|73.34|80.674|84.341|88.008|91.675|99.009|102.676|110.01|121.011|121.011|124.678|..|..|..
43|CPV|Cape Verde|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|88.008|91.675|102.676|102.676|110.01|113.677|139.346|143.013|154.014|172.349|187.017|209.019|245.689|253.023|264.024|293.36|308.028|311.695|308.028|..|..|..
44|CRI|Costa Rica|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|2955.602|3336.97|3791.678|3953.026|5269.479|4866.109|4748.765|4987.12|5317.15|5522.502|5474.831|5760.857|6325.575|6626.269|6930.63|6941.631|7436.676|8118.738|8016.062|..|..|..
45|CUB|Cuba|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|33340.364|29633.027|31338.182|29347.001|32199.927|25657.999|26959.784|24605.57|24444.222|25276.631|26039.367|25452.647|26090.705|25485.65|23985.847|24634.906|27168.803|26838.773|31418.856|..|..|..
46|CUW|Curacao|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..
47|CYM|Cayman Islands|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|253.023|275.025|278.692|289.693|289.693|289.693|286.026|286.026|286.026|282.359|454.708|454.708|469.376|480.377|495.045|517.047|535.382|539.049|557.384|..|..|..
48|CYP|Cyprus|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|4653.423|4741.431|5276.813|5665.515|5812.195|5716.853|5936.873|6109.222|6640.937|6754.614|6849.956|6846.289|7022.305|7748.371|7334|7502.682|7788.708|8195.745|8555.111|..|..|..
49|CZE|Czech Republic|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|139503.681|131964.329|127688.607|129470.769|132558.383|130090.492|125525.077|111931.508|124648.664|124406.642|120193.259|122378.791|122708.821|120735.975|122785.828|123944.6|116995.635|..|..|..
50|DEU|Germany|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|55.005|960992.355|928326.719|911425.516|903622.14|901524.616|924014.327|900318.173|895532.738|824466.278|832100.972|855756.789|830909.197|835657.962|828521.98|809596.593|811881.134|787235.227|786659.508|..|..|..
51|DJI|Djibouti|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|399.703|399.703|414.371|429.039|429.039|429.039|436.373|440.04|410.704|443.707|403.37|385.035|399.703|407.037|458.375|473.043|487.711|487.711|524.381|..|..|..
52|DMA|Dominica|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|58.672|58.672|58.672|62.339|69.673|80.674|73.34|80.674|77.007|80.674|102.676|113.677|102.676|113.677|110.01|113.677|110.01|150.347|128.345|..|..|..
53|DNK|Denmark|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|50421.25|61433.251|54528.29|57337.212|61194.896|55298.36|68704.912|57065.854|56068.43|50930.963|47252.962|49035.124|51899.051|55947.419|50476.255|46867.927|54418.28|49695.184|46024.517|..|..|..
54|DOM|Dominican Republic|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|9570.87|10135.588|11206.352|11939.752|12676.819|16105.464|17546.595|18239.658|18683.365|18870.382|20117.162|20234.506|21499.621|21521.623|19999.818|19761.463|20813.892|21363.942|21616.965|..|..|..
55|DZA|Algeria|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|78895.505|81458.738|82261.811|82474.497|86350.516|94692.941|96566.778|88195.017|107080.067|92118.707|87930.993|84293.329|90853.592|92533.078|89493.135|107127.738|107303.754|112741.915|111304.451|..|..|..
56|EAP|East Asia & Pacific|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|3093880.16469856|3289803.57661822|3450812.99625647|3688790.23116158|3894961.09794064|4222032.11958068|4424809.18193978|4464694.63907421|4048977.4459849|4078685.15883721|4227383.15170255|4375765.61673876|4615783.23363672|5508464.62684371|6353836.84491947|6892794.56142216|7491421.6400291|7938274.13422319|8259297.79712798|..|..|..
57|ECA|Europe & Central Asia|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|3885852.60760128|3544417.82861649|3095729.97346661|3001413.43266578|2929376.06845129|2743439.33467356|2665719.9830227|2654211.36225569|2696711.29308686|2697657.05470323|2705846.23764024|2813025.13642366|2847614.0494991|2873631.7661219|2983959.15580769|3050860.81559634|3110254.40771698|..|..|..
58|ECU|Ecuador|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|16835.197|16486.832|22302.694|24187.532|13637.573|22812.407|23890.505|18276.328|22229.354|21272.267|20942.237|23446.798|24689.911|26523.411|28657.605|29299.33|29842.046|30898.142|26824.105|..|..|..
59|EGY|Egypt, Arab Rep.|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|75943.57|78715.822|81264.387|93156.468|85312.755|95723.368|102030.608|108202.169|122243.112|125393.065|141326.18|125451.737|127193.562|158880.109|160581.597|174640.875|187504.711|199220.776|210320.785|..|..|..
60|EMU|Euro area|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|1649668.42640033|2718904.68792074|2655681.737|2587669.888|2581736.682|2647915.031|2703605.76|2661160.235|2712190.207|2589925.093|2612638.491|2677408.712|2674075.409|2735824.022|2752241.181|2735853.358|2717613.7|2684247.667|2633269.033|..|..|..
61|ERI|Eritrea|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|..|..|183.35|297.027|348.365|528.048|590.387|619.723|608.722|630.724|605.055|726.066|770.07|766.403|561.051|579.386|414.371|..|..|..
62|ESP|Spain|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|227592.355|235080.369|245098.613|226954.297|244658.573|257229.049|254328.452|264460.373|274683.969|282384.669|294441.765|297833.74|314525.924|321097.188|339428.521|353462.13|350037.152|358236.564|329285.599|..|..|..
63|EST|Estonia|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|23028.76|18628.36|18661.363|16754.523|18808.043|18613.692|17143.225|15474.74|15559.081|15984.453|15471.073|17553.929|17839.955|17462.254|16945.207|19952.147|18290.996|..|..|..
64|ETH|Ethiopia|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|3017.941|2984.938|2966.603|5163.136|3003.273|2152.529|3729.339|4275.722|5027.457|5075.128|5830.53|4308.725|4481.074|4946.783|5196.139|5489.499|5995.545|6560.263|7106.646|..|..|..
65|FIN|Finland|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|50941.964|54891.323|49126.799|51935.721|59412.734|52328.09|61385.58|60083.795|56988.847|55423.038|52141.073|56424.129|61077.552|68888.262|66970.421|54605.297|66075.673|63923.144|56512.137|..|..|..
66|FJI|Fiji|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|817.741|674.728|733.4|773.737|828.742|887.414|920.417|759.069|729.733|832.409|861.745|1122.102|858.078|1657.484|1888.505|1635.482|1565.809|1459.466|1254.114|..|..|..
67|FRA|France|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|399028.272|427667.542|397037.091|389105.37|369457.584|393289.417|408126.099|379486.829|409094.187|371309.419|365559.563|385808.737|380447.583|387147.192|389706.758|391826.284|382281.083|374283.356|376985.935|..|..|..
68|FRO|Faeroe Islands|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|623.39|594.054|660.06|597.721|520.714|634.391|652.726|656.393|663.727|671.061|656.393|660.06|667.394|674.728|674.728|682.062|689.396|696.73|707.731|..|..|..
69|FSM|Micronesia, Fed. Sts.|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|..|..|..|..|..|..|..|55.005|55.005|55.005|55.005|55.005|55.005|55.005|55.005|62.339|62.339|..|..|..
70|GAB|Gabon|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|4844.107|1477.801|2130.527|3281.965|3351.638|3857.684|3534.988|3545.989|1631.815|1437.464|1052.429|1782.162|1778.495|1334.788|1481.468|1785.829|1782.162|1976.513|2471.558|..|..|..
71|GBR|United Kingdom|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|570218.5|593808.311|587453.4|567523.255|563775.581|564523.649|580680.451|554215.712|554138.705|535550.682|543662.086|550552.379|531942.354|540636.811|545719.273|542473.978|543273.384|529621.143|522855.528|..|..|..
72|GEO|Georgia|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|15335.394|9952.238|6083.553|2302.876|4066.703|4437.07|4961.451|4345.395|4536.079|3769.676|3388.308|3773.343|3927.357|4734.097|5496.833|6028.548|5203.473|..|..|..
73|GHA|Ghana|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|3931.024|4044.701|4096.039|4664.424|5071.461|5427.16|5757.19|6395.248|6409.916|6560.263|6299.906|6919.629|7414.674|7601.691|7278.995|7007.637|9350.85|9636.876|8591.781|..|..|..
74|GIB|Gibraltar|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|95.342|106.343|91.675|333.697|399.703|348.365|194.351|121.011|311.695|322.696|333.697|344.698|344.698|355.699|366.7|377.701|392.369|407.037|421.705|..|..|..
75|GIN|Guinea|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|1056.096|1074.431|1074.431|1103.767|1228.445|1250.447|1272.449|1279.783|1243.113|1272.449|1279.783|1298.118|1323.787|1342.122|1342.122|1360.457|1360.457|1389.793|1393.46|..|..|..
76|GMB|Gambia, The|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|190.684|198.018|198.018|209.019|209.019|216.353|216.353|216.353|234.688|256.69|275.025|282.359|315.362|315.362|322.696|322.696|337.364|396.036|410.704|..|..|..
77|GNB|Guinea-Bissau|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|253.023|256.69|260.357|278.692|278.692|282.359|286.026|308.028|216.353|245.689|198.018|198.018|209.019|249.356|256.69|264.024|275.025|286.026|282.359|..|..|..
78|GNQ|Equatorial Guinea|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|121.011|201.685|216.353|102.676|36.67|132.012|117.344|293.36|168.682|473.043|454.708|3094.948|4979.786|6017.547|4679.092|4712.095|4752.432|4796.436|4814.771|..|..|..
79|GRC|Greece|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|72723.944|67615.813|75503.53|75646.543|78363.79|79185.198|80395.308|84572.021|87809.982|86636.542|91616.328|93805.527|93669.848|95738.036|97149.831|98675.303|97285.51|98213.261|97813.558|..|..|..
80|GRD|Grenada|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|121.011|121.011|128.345|143.013|165.015|172.349|176.016|205.352|190.684|205.352|205.352|220.02|216.353|227.354|216.353|234.688|245.689|245.689|245.689|..|..|..
81|GRL|Greenland|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|557.384|550.05|484.044|502.379|506.046|506.046|517.047|524.381|531.715|542.716|531.715|539.049|539.049|535.382|498.712|630.724|579.386|638.058|575.719|..|..|..
82|GTM|Guatemala|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|5086.129|5053.126|6017.547|5658.181|6838.955|7165.318|6651.938|7598.024|8753.129|8929.145|9915.568|10626.966|11173.349|10670.97|11206.352|12156.105|12288.117|12926.175|11914.083|..|..|..
83|GUM|Guam|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..
84|GUY|Guyana|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|1140.437|1122.102|1052.429|1056.096|1334.788|1481.468|1529.139|1602.479|1653.817|1650.15|1580.477|1518.138|1547.474|1521.805|1463.133|1514.471|1525.472|1525.472|1525.472|..|..|..
85|HIC|High income|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|10605543.0629947|11763151.9460281|11821713.9321519|12122350.9277385|12251534.4463261|12327909.9118634|12637718.6326749|12744117.4388426|12658000.4687839|12631659.8015618|12883981.2745903|12800476.6932043|12896363.4825047|13132316.1910647|13347825.396706|13387488.8787345|13353377.1819163|13422816.7508701|13284694.5075709|..|..|..
86|HKG|Hong Kong SAR, China|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|27660.181|28892.293|33428.372|35129.86|31429.857|31620.541|29365.336|30854.138|39233.233|42753.553|40582.689|37971.785|36952.359|40065.642|38415.492|40549.686|38554.838|39962.966|38573.173|..|..|..
87|HND|Honduras|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|2592.569|2698.912|3076.613|2849.259|3336.97|3879.686|3960.36|4158.378|4649.756|4741.431|5031.124|5713.186|6090.887|6769.282|7367.003|7620.026|7308.331|9035.488|8672.455|..|..|..
88|HRV|Croatia|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|16442.828|16428.16|16875.534|17612.601|18518.35|19295.754|20417.856|20491.196|19644.119|20714.883|21877.322|23542.14|23047.095|23105.767|23175.44|24367.215|23303.785|..|..|..
89|HTI|Haiti|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|993.757|997.424|909.416|663.727|300.694|942.419|1092.766|1422.796|1232.112|1331.121|1367.791|1569.476|1826.166|1734.491|1987.514|2075.522|2119.526|2398.218|2434.888|..|..|..
90|HUN|Hungary|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|62991.726|63435.433|58716.004|60124.132|58066.945|60054.459|62702.033|61807.285|60853.865|60362.487|57256.538|57021.85|56031.76|59009.364|57311.543|57879.928|57227.202|55848.41|54638.3|..|..|..
91|IDN|Indonesia|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|149565.929|179730.671|202576.081|218600.871|221413.46|224941.114|253290.691|278658.997|210210.775|237595.931|258120.13|289065.943|303506.589|311885.684|333733.67|336311.571|338134.07|368617.841|406028.575|..|..|..
92|IMY|Isle of Man|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..
93|IND|India|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|690576.774|737851.738|783634.233|814297.687|864931.623|920046.633|1002224.103|1043939.895|1071911.771|1144390.026|1186663.202|1203843.097|1226791.183|1281913.527|1346595.74|1411127.606|1504364.748|1612383.567|1742697.746|..|..|..
