region,year,AveragePrice,Total Volume,4046,4225,4770,Total Bags in thousands,Small Bags in thousands,Large Bags,XLarge Bags,Tipo_conventional,Tipo_organic
HarrisburgScranton,2015,1.4716346153846158,11637852,1844371,6225782,35811,3531.7869100000003,3417.514600000001,105860.67,8411.64,52,52
HarrisburgScranton,2016,1.511634615384616,13124772,2218431,6464976,17260,4424.004489999999,4185.736489999996,164139.6,74128.4,52,52
HarrisburgScranton,2017,1.5957547169811324,13144270,2484220,6354308,19190,4286.4516699999995,3976.305470000001,252835.6300000001,57312.57,53,53
HarrisburgScranton,2018,1.3366666666666667,3901800,968334,1644511,1920,1287.01106,1193.31566,78929.85,14765.550000000003,12,12
HartfordSpringfield,2015,1.7477884615384622,15162199,239966,11699622,74357,3148.15304,3010.4186500000005,137656.61,77.78,52,52
HartfordSpringfield,2016,1.8510576923076936,15697899,403069,11655624,28387,3610.71996,3512.671360000001,65255.83000000001,32792.77,52,52
HartfordSpringfield,2017,1.8883018867924524,15322551,526311,11100614,63909,3631.63289,3381.7272499999995,214590.88999999996,35312.75000000001,53,53
HartfordSpringfield,2018,1.6775,4487727,150141,3391599,3461,942.5067399999998,873.7434199999999,59344.9,9418.42,12,12
Houston,2015,1.0480769230769231,55387416,27809166,20168914,1017521,6391.737999999999,3913.5441599999995,2416209.84,61984.0,52,52
Houston,2016,0.9919230769230768,58704732,29469679,13679645,3713968,11841.365370000009,6408.96729,5181016.689999999,251381.39000000007,52,52
Houston,2017,1.1040566037735848,69093042,33380761,11702132,649284,23360.792830000006,14927.579259999993,8429192.860000001,4020.7099999999996,53,53
Houston,2018,1.0420833333333333,19982505,9113130,2173573,74616,8621.16782,7275.076629999999,1337344.5399999998,8746.65,12,12
Indianapolis,2015,1.3429807692307696,8189014,353915,5033976,586502,2214.5360100000003,1274.12558,837505.8700000005,102904.55999999997,52,52
Indianapolis,2016,1.3015384615384613,9164402,667345,4574508,585639,3336.8277000000003,1841.049169999999,1364131.0799999994,131647.45,52,52
Indianapolis,2017,1.330754716981132,10001148,677197,4181863,114046,5026.575860000003,2327.534789999999,2672517.7200000016,26523.35,53,53
Indianapolis,2018,1.1683333333333332,2908665,726880,673322,104891,1402.8704500000003,1168.35408,212101.77,22414.600000000002,12,12
Jacksonville,2015,1.503076923076923,7176424,4697003,728801,40697,1709.8292699999997,992.3574999999997,717265.3300000002,206.44,52,52
Jacksonville,2016,1.367692307692308,9711784,4416449,1662566,18925,3613.736449999999,1296.2646499999998,2261494.8,55977.00000000001,52,52
Jacksonville,2017,1.6715094339622634,9193234,4868937,967084,8240,3348.8819999999987,1545.69652,1756096.5999999999,47087.880000000005,53,53
Jacksonville,2018,1.456666666666667,2708393,1489151,168123,5413,1045.67977,505.4678999999999,538147.42,2064.45,12,12
LasVegas,2015,1.3688461538461534,15542381,6605353,6074858,327015,2535.0718200000015,2022.006859999999,513049.68,15.28,52,52
LasVegas,2016,1.352403846153846,16906963,6561925,4248081,428265,5668.612840000004,2867.9215699999995,2796027.389999999,4663.879999999999,52,52
LasVegas,2017,1.4178301886792455,17433784,5690719,3609363,338091,7795.5385700000015,3081.800059999999,4707653.409999998,6084.0999999999985,53,53
LasVegas,2018,1.39375,4493621,928974,1431954,78906,2053.7701799999995,1005.89487,1042584.2499999999,5291.06,12,12
LosAngeles,2015,1.1525,148220640,90357933,32732281,3832836,21297.511150000002,19631.89924,1477896.8599999992,187715.04999999996,52,52
LosAngeles,2016,1.08375,163142250,55734964,35609037,4200558,67597.61041,60905.66187999997,5524770.669999999,1167177.8599999999,52,52
LosAngeles,2017,1.3773584905660377,158481119,62259442,27523854,4629465,64068.28442000001,60751.17964999999,1170728.0300000003,2146377.7399999998,53,53
LosAngeles,2018,1.3516666666666666,38052366,15526866,6268634,955730,15301.122450000003,14437.36324,289749.91000000003,574009.2999999999,12,12
Louisville,2015,1.294423076923077,4288952,141438,2750026,167439,1229.9758700000002,621.5810399999998,572272.8900000004,36121.939999999995,52,52
Louisville,2016,1.2115384615384612,5076273,112735,2952319,155229,1855.9212300000002,699.3509200000002,1100922.0399999998,55648.270000000004,52,52
Louisville,2017,1.357075471698114,5260062,166597,2303906,12792,2776.71194,1000.4857599999999,1766391.8899999994,9834.289999999997,53,53
Louisville,2018,1.2679166666666666,1471548,288653,406252,3951,772.67974,492.82348,273537.78,6318.48,12,12
MiamiFtLauderdale,2015,1.3835576923076922,25166461,17573233,2868407,18187,4706.5566,2666.4648800000004,2038581.4900000002,1510.23,52,52
MiamiFtLauderdale,2016,1.2798076923076924,31885010,16025730,6795043,14301,9049.85645,3613.7769200000002,5254598.960000001,181480.56999999998,52,52
MiamiFtLauderdale,2017,1.6375471698113209,30880178,18932921,4411412,47644,7488.126810000002,3654.3802200000005,3712716.7300000014,121028.86000000002,53,53
MiamiFtLauderdale,2018,1.344166666666667,9741410,6608044,836258,25182,2271.9029000000005,1285.3516499999996,984912.9200000002,1638.33,12,12
Midsouth,2015,1.3513461538461546,140221868,30868724,65578977,10858596,32915.45897,29647.44831,3181595.9199999995,86414.74000000002,52,52
Midsouth,2016,1.3508653846153846,154260447,33167567,71200728,6081828,43810.21161,36905.31442999999,6312891.8100000005,592005.37,52,52
Midsouth,2017,1.5205660377358492,165553501,35422660,68599984,1773035,59757.664779999985,50400.08398,8758283.620000001,599296.1800000002,53,53
Midsouth,2018,1.3583333333333336,48313384,10971519,16993211,318327,20030.291459999997,17411.596260000002,2518094.3600000003,100600.84,12,12
Nashville,2015,1.2772115384615383,8661866,5396918,974603,514847,1775.4139499999985,1357.58516,410004.67999999993,7824.11,52,52
Nashville,2016,1.1161538461538463,10499124,5102446,1479712,118916,3797.97226,2699.5295099999994,1079105.6200000006,19337.129999999997,52,52
Nashville,2017,1.2400000000000004,12938592,6107386,1175094,7111,5648.933780000002,4660.31505,925316.8899999999,63302.840000000004,53,53
Nashville,2018,1.2225,3512341,1581971,180942,4565,1744.84642,1325.3571200000006,398467.22,21022.079999999998,12,12
NewOrleansMobile,2015,1.2676923076923077,12664260,8120315,740962,123632,3679.269729999999,3395.2150399999996,283611.77000000014,442.92,52,52
NewOrleansMobile,2016,1.2486538461538463,14640315,7985925,1851202,29549,4773.578280000002,3698.3064600000002,858336.0000000002,216935.82,52,52
NewOrleansMobile,2017,1.419056603773585,14326454,8308865,1512024,26919,4478.58812,3611.264470000002,578803.4900000001,288522.16,53,53
NewOrleansMobile,2018,1.2041666666666668,4063951,2389467,308887,28077,1337.50438,1154.7686100000008,175947.97000000006,6787.799999999999,12,12
NewYork,2015,1.6445192307692316,70607586,1203139,54032400,131926,15240.023380000006,12259.122030000002,2977952.4800000004,2948.8699999999994,52,52
NewYork,2016,1.7620192307692313,71546507,1574257,48539039,709311,20723.809500000003,18044.94731000001,2610681.660000001,68180.53,52,52
NewYork,2017,1.8099056603773584,74850625,3703192,45918013,888611,24340.71418999999,20818.00333000001,3251680.7299999986,271031.1300000001,53,53
NewYork,2018,1.5745833333333328,23729243,1158581,14864235,16795,7689.60969,7279.609830000002,392682.7100000001,17317.149999999998,12,12
Northeast,2015,1.5437499999999997,203378936,5489318,147766185,787524,49335.79936000001,44839.11262999998,4479437.48,17249.25,52,52
Northeast,2016,1.5956730769230763,218931032,9675715,143516324,4129985,61608.90732000003,56944.313320000016,4152132.1,512461.89999999997,52,52
Northeast,2017,1.694056603773585,224647251,14531018,142179264,1780066,66156.80370999993,55462.99206999998,10010554.789999997,683259.8500000001,53,53
Northeast,2018,1.4741666666666668,66323524,5294990,41022725,118899,19886.883209999993,16376.557099999996,3413929.549999999,96396.55999999998,12,12
NorthernNewEngland,2015,1.4733653846153845,20094568,153506,16038988,107553,3794.4472000000005,3785.389290000001,9057.910000000003,0.0,52,52
NorthernNewEngland,2016,1.3926923076923075,22141758,1625459,15274881,972490,4268.862999999999,4202.994210000001,11188.79,54680.0,52,52
NorthernNewEngland,2017,1.5771698113207546,22660242,625445,17173663,209519,4651.551880000002,2612.6462999999985,1989558.7300000007,49345.850000000006,53,53
NorthernNewEngland,2018,1.42125,6636158,298684,5121550,25745,1190.1653199999998,675.9407000000002,507600.19000000006,6624.43,12,12
Orlando,2015,1.4993269230769217,14719523,9615136,1775968,8467,3319.877330000001,1932.2888099999996,1386624.7700000007,963.75,52,52
Orlando,2016,1.3707692307692305,19214729,9004925,3857188,9442,6343.105600000001,2810.155850000002,3385822.4700000025,147127.28,52,52
Orlando,2017,1.6801886792452831,18811345,11027889,2314884,14288,5454.226909999998,3127.9859000000033,2232898.45,93341.56,53,53
Orlando,2018,1.3545833333333333,5914925,3742797,411396,16285,1744.4308400000007,1057.44824,685168.1599999999,1814.4400000000003,12,12
Philadelphia,2015,1.5551923076923078,20892168,883996,14220416,56514,5731.132959999998,5057.956429999999,671967.6700000003,1208.8600000000001,52,52
Philadelphia,2016,1.6748076923076929,22108044,1015889,12948490,335662,7807.902319999997,7173.34789,590439.8600000005,44114.57,52,52
Philadelphia,2017,1.7072641509433957,22271192,1954977,12226406,203262,7886.4495700000025,6996.860910000004,842983.0399999998,46604.62,53,53
Philadelphia,2018,1.4487499999999998,6567225,760173,3352953,4330,2449.7473999999993,2188.85866,246665.07000000007,14223.67,12,12
PhoenixTucson,2015,1.157115384615385,57176231,40701680,11220574,431129,4822.767299999998,3876.5926800000007,945560.7400000002,613.88,52,52
PhoenixTucson,2016,1.2587499999999996,59283640,34267020,12534226,888053,11594.260080000004,5798.727830000001,5780402.659999998,15129.59,52,52
PhoenixTucson,2017,1.2725471698113209,61170486,30978849,12023723,665391,17502.440560000003,9809.409629999996,7620203.329999998,72828.59999999999,53,53
PhoenixTucson,2018,1.1550000000000002,18012793,9479990,3379298,164720,4988.768360000002,2787.8981699999995,2134533.8799999994,66336.31,12,12
Pittsburgh,2015,1.4072115384615382,4539947,121404,2800448,97379,1520.6409099999994,1064.321180000001,455874.33,445.4,52,52
Pittsburgh,2016,1.343365384615385,5516140,555029,2707998,74032,2178.99903,1652.1095699999998,492298.7799999999,34590.67999999999,52,52
Pittsburgh,2017,1.3629245283018874,6848579,2675434,1536949,95561,2540.55689,2069.1212200000004,449363.41000000003,22072.26,53,53
Pittsburgh,2018,1.2754166666666664,1901507,620408,255917,19901,1005.2656000000001,622.6281700000001,382160.75,476.68000000000006,12,12
Plains,2015,1.4378846153846159,87638741,44959155,26173775,917772,15587.936659999998,14852.485850000006,651941.04,83509.77000000002,52,52
Plains,2016,1.3775,95241584,41512649,28448020,935247,24345.554089999998,21472.370119999992,2314631.8000000003,558552.1699999999,52,52
Plains,2017,1.5104716981132074,100279985,44790955,25553743,548394,29386.63568999998,25344.684630000007,3593356.749999999,448594.30999999994,53,53
Plains,2018,1.3595833333333338,28028060,12248439,7159627,92898,8527.078509999998,7091.08334,1413714.1299999997,22281.040000000005,12,12
Portland,2015,1.3068269230769227,27943403,8408487,12756100,901300,5877.423640000001,5428.94971,430045.39999999985,18428.529999999995,52,52
Portland,2016,1.1916346153846151,37311463,6063271,10224883,886943,20136.26152999999,18797.55892999998,1316821.51,21881.090000000004,52,52
Portland,2017,1.4343396226415097,36899403,7757521,8815630,865906,19460.245549999996,15535.35377,3899132.9399999995,25757.840000000007,53,53
Portland,2018,1.3962500000000002,8397777,978472,3188877,199981,4030.4287500000005,1746.7588099999998,2271725.31,11944.63,12,12
RaleighGreensboro,2015,1.4494230769230765,12817280,2954244,3789214,2359017,3714.71414,3561.462449999998,153051.69,200.0,52,52
RaleighGreensboro,2016,1.4477884615384615,14567803,3452095,5658368,1221086,4236.159829999997,4059.6025500000005,124800.61999999998,51756.659999999996,52,52
RaleighGreensboro,2017,1.7686792452830196,16028595,4237681,5777079,380618,5633.114790000001,5416.7981899999995,173226.27000000002,43090.329999999994,53,53
RaleighGreensboro,2018,1.5350000000000001,4788883,1176634,1453303,66235,2092.68873,2002.6201199999996,90067.49999999997,1.11,12,12
RichmondNorfolk,2015,1.2745192307692306,11651028,3719279,4885105,626169,2420.365599999999,2292.6190000000006,127248.05000000003,498.55000000000007,52,52
RichmondNorfolk,2016,1.2111538461538462,12937976,4061401,5048473,388585,3439.410370000001,3236.303359999999,147669.59000000003,55437.420000000006,52,52
RichmondNorfolk,2017,1.3992452830188684,13646873,3731709,4912805,132055,4870.203720000001,4562.104480000001,246705.22999999992,61393.01,53,53
RichmondNorfolk,2018,1.235,3994813,964285,1229811,22442,1778.2490899999998,1565.4761700000006,206318.05,6454.87,12,12
Roanoke,2015,1.2271153846153846,6778758,2617393,2508142,9338,1643.8088299999993,1526.097089999999,116307.01000000001,1404.73,52,52
Roanoke,2016,1.1474999999999995,7686765,2308066,2530801,7811,2840.0048300000003,2522.02697,275582.03,42395.83,52,52
Roanoke,2017,1.3583018867924526,8085560,1924926,2364222,6466,3789.8658500000006,3393.4678100000006,365512.31999999995,30884.720000000005,53,53
Roanoke,2018,1.2858333333333334,2490758,602395,568199,2840,1317.3081900000002,1014.74735,297762.7699999999,4798.07,12,12
Sacramento,2015,1.4540384615384618,21980484,6584608,12286749,669603,2439.4481200000023,2438.397040000002,665.35,385.73,52,52
Sacramento,2016,1.6681730769230767,23122978,7199727,12362355,705397,2855.4089099999997,2804.1834899999994,21087.79000000002,30137.63,52,52
Sacramento,2017,1.774056603773585,23192385,7604358,12755338,165874,2666.73278,2522.48736,36819.080000000016,107425.34000000001,53,53
Sacramento,2018,1.4720833333333332,6867737,2062542,3772310,12193,1020.6783099999999,931.77308,18142.819999999996,70762.41,12,12
SanDiego,2015,1.2742307692307686,26585679,13754796,9120200,852342,2858.2575399999973,2418.986489999999,436914.52999999985,2356.52,52,52
SanDiego,2016,1.31375,29337995,8985608,8966851,1040382,10345.068300000003,8251.738990000002,2066372.2399999995,26957.07,52,52
SanDiego,2017,1.5845283018867926,27194240,9137319,9015694,1003191,8037.943469999998,7611.418629999999,339972.33000000013,86552.50999999997,53,53
SanDiego,2018,1.4779166666666665,6673837,2204778,2155544,212099,2101.399210000001,1993.6456999999996,78564.64,29188.87,12,12
SanFrancisco,2015,1.621057692307693,39445748,9011364,24992845,1458911,3982.5506800000003,3935.158410000001,44637.060000000005,2755.2099999999996,52,52
SanFrancisco,2016,1.881250000000001,41529580,10552429,24900272,1768448,4308.340679999998,4191.067540000004,78004.4,39268.740000000005,52,52
SanFrancisco,2017,1.9659433962264152,41871455,11153766,25562063,390739,4764.796190000001,4584.040830000001,49665.61000000002,131089.75,53,53
SanFrancisco,2018,1.5495833333333333,12983246,3419158,7697721,31117,1835.2374199999995,1792.0843599999996,4632.170000000001,38520.89,12,12
Seattle,2015,1.4222115384615388,29057048,8816090,12918158,595884,6726.812490000001,6352.505099999997,368272.17000000004,6035.22,52,52
Seattle,2016,1.300288461538462,37188364,5006184,10842814,321045,21018.223380000003,19384.69123,1609561.949999999,23970.200000000004,52,52
Seattle,2017,1.5993396226415086,35027514,6298439,9914346,87526,18727.10603,14930.621540000007,3766673.6200000006,29810.87,53,53
Seattle,2018,1.4549999999999994,7941084,1345778,2365296,10729,4219.25683,1779.3227599999998,2431439.9200000004,8494.15,12,12
SouthCarolina,2015,1.454711538461539,16245813,8747499,2965151,870471,3662.591080000001,3108.7487199999987,553359.8100000003,482.55000000000007,52,52
SouthCarolina,2016,1.3049999999999997,18702807,8301469,4472984,494089,5434.154119999998,3677.248120000001,1732338.34,24567.66,52,52
SouthCarolina,2017,1.4798113207547168,19968916,8788327,4239817,147698,6792.967450000001,4896.739789999999,1731867.2599999995,164360.40000000002,53,53
SouthCarolina,2018,1.2683333333333333,5836071,2572900,953737,45947,2263.4611299999997,1730.61053,495690.58,37160.020000000004,12,12
SouthCentral,2015,1.112019230769231,290454538,163102362,85794963,5536784,36020.35715000002,29560.28422999998,6259518.55,200554.37,52,52
SouthCentral,2016,1.0269230769230766,304098646,158302566,62948722,14068788,68778.48650999997,55823.44915999997,11624871.279999994,1330166.07,52,52
SouthCentral,2017,1.1628301886792451,325422566,169163984,58693114,2412771,95152.62207999999,72315.74652999997,22190061.27,646814.28,53,53
SouthCentral,2018,1.1045833333333333,91303697,44472320,13013040,377352,33440.96861,27116.00390000001,5862388.29,462576.4200000001,12,12
Southeast,2015,1.414711538461538,160095157,105796797,19053094,1802050,33443.113860000005,22055.782320000006,11380821.239999996,6510.299999999998,52,52
Southeast,2016,1.2869230769230764,198121427,93898535,39223185,796557,64203.042670000024,33050.21249000001,30299463.67,853366.5100000004,52,52
Southeast,2017,1.5121698113207551,196737200,105911972,27503696,357307,62964.12525000004,38187.59426000002,23295135.689999998,1481392.2999999998,53,53
Southeast,2018,1.3029166666666667,60284458,34079624,5080302,207140,20917.366949999992,13609.685700000004,7132187.429999999,175493.82,12,12
Spokane,2015,1.400384615384615,4181640,1585108,1732179,160727,703.5327599999996,679.4638500000001,23929.189999999995,139.72,52,52
Spokane,2016,1.3335576923076924,5006114,1127527,1275161,103402,2499.9446500000004,2341.058789999999,156090.72000000006,2795.140000000001,52,52
Spokane,2017,1.6045283018867924,5151477,1094182,1559585,9822,2487.80738,2054.2254199999998,430432.6200000003,3149.3399999999997,53,53
Spokane,2018,1.425,1225880,297095,359513,6164,563.09108,293.56345999999996,268429.10000000003,1098.5200000000002,12,12
StLouis,2015,1.503365384615385,9902524,4954144,1976689,3839,2967.7699399999997,2819.2136600000026,148060.27000000005,496.01000000000005,52,52
StLouis,2016,1.1854807692307685,10644427,3383177,958856,6209,6296.096450000002,4774.204580000004,1367707.18,154184.69,52,52
StLouis,2017,1.591792452830188,8988068,3985956,743533,10858,4247.638180000002,3356.503630000001,834728.5399999999,56406.009999999995,53,53
StLouis,2018,1.465833333333334,2537648,1187409,120214,5480,1224.5263999999997,981.9340500000003,228881.16999999998,13711.179999999998,12,12
Syracuse,2015,1.5290384615384616,2734280,46703,1558110,18698,1110.7067000000004,1101.3696500000008,9337.05,0.0,52,52
Syracuse,2016,1.5034615384615388,3429317,81406,2069873,4521,1273.4630999999993,1210.1429299999995,41921.28,21398.89,52,52
Syracuse,2017,1.5894339622641511,3731928,124041,2194701,3832,1409.3030300000005,1152.2363199999995,236705.77000000005,20361.940000000002,53,53
Syracuse,2018,1.2504166666666667,1046977,79524,567491,990,398.9546199999999,181.90250999999995,217050.99999999994,1.11,12,12
Tampa,2015,1.3566346153846154,17131542,10217374,2266055,7854,4640.19684,2852.0028300000004,1786932.2200000007,1261.79,52,52
Tampa,2016,1.2645192307692301,21680700,9282523,4974331,5025,7418.739850000003,3709.6956200000013,3562339.52,146704.70999999996,52,52
Tampa,2017,1.6193396226415095,20550082,12052595,2935667,11747,5550.004399999999,2947.95159,2516039.5800000005,86012.23,53,53
Tampa,2018,1.3308333333333335,6642044,4195097,544892,14286,1887.7508200000002,1098.4243,788126.5200000001,1200.0,12,12
TotalUS,2015,1.2574038461538466,1657255173,651907798,661188436,53609365,290549.46722999995,238429.15781,50062563.21999999,2057743.2000000002,52,52
TotalUS,2016,1.2635576923076925,1819159089,588946630,625637555,60426967,544147.8300900003,410848.19876999996,125774355.29000002,7525276.029999998,52,52
TotalUS,2017,1.4366037735849053,1864693522,636377117,577034405,33606005,617664.5358299995,458021.0715900001,150554624.51,9088839.730000006,53,53
